5,"!"" USER : The shit just blows me .claim you so faithful and down for somebody but still fucking with hoes! &128514;&128514;&128514;""",0,0,0,0,0,1
6,"!"" USER : I can not just sit up and HATE on another bitch . I got too much shit going on!""",0,1,0,0,0,1
7,"!&8220; USER : cause I'm tired of you big bitches coming for us skinny girls !&8221;",0,1,0,0,0,1
3,"! RT USER : USER she look like a tranny",0,0,0,0,0,1
4,"! RT USER : The shit you hear about me might be true or it might be faker than the bitch who told it to ya &57361;",0,0,0,0,0,1
8,""" &amp; you might not get ya bitch back &amp; thats that """,0,0,0,0,0,1
9,""" USER :hobbies include: fighting Mariam"" bitch",0,0,0,0,0,1
10,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",0,0,0,0,0,1
11,""" Murda Gang bitch its Gang Land """,1,0,0,0,0,1
12,""" So hoes that smoke are losers ? "" yea . go on IG",0,0,0,0,0,1
13,""" bad bitches is the only thing that i like """,0,0,0,0,0,1
14,""" bitch get up off me """,0,0,0,0,0,1
15,""" bitch nigga miss me with it """,0,0,0,0,0,1
18,""" bitches get cut off everyday B """,0,0,0,0,0,1
21,""" cancel that bitch like Nino """,0,0,0,0,0,1
22,""" cant you see these hoes wont change """,0,0,0,0,0,1
24,""" got ya bitch tip toeing on my hardwood floors "" &128514; URL",0,1,0,0,0,0
27,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &128524;",0,0,0,0,0,1
29,""" i spend my money how i want bitch its my business """,0,0,0,0,0,1
30,""" i txt my old bitch my new bitch pussy wetter """,0,0,0,0,0,1
35,""" is that ya bitch """,0,0,0,0,0,1
32,""" if you aint bout that Murder Game pussy nigga shut up """,0,0,0,0,0,1
33,""" if you're toes ain't done you pussy stinks """,0,0,0,0,0,1
34,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,0,0,0,0,0,1
36,""" it aint nothing to cut a bitch off """,0,0,0,0,0,1
37,""" jus meet son now he ya mane ass bitches "" Shots",0,0,0,0,0,1
38,""" lames crying over hoes thats tears of a clown """,0,0,0,0,0,1
39,""" like Snoop said in 94 we dont love these hoes """,0,0,0,0,0,1
40,""" momma said no pussy cats inside my doghouse """,0,0,0,0,0,1
41,""" most hated but the hoes favorite "" 2 M W Seven One # URL",0,0,0,0,0,1
42,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" URL",0,0,0,0,0,1
43,""" pimps up pimps up hoes down "" Future voice",0,0,0,0,0,1
44,""" post a picture of that pussy get 200 likes """,0,0,0,0,0,1
45,""" pussy is a powerful drug "" &128517; Happy Hump Day URL",0,0,0,0,0,1
46,""" quick piece of pussy call it a drive by """,0,0,0,0,0,1
47,""" running round here like some brand new pussy thats bout to get fucked """,0,0,0,0,0,1
48,""" these bitches even worst they'll send them guys for you """,0,0,0,0,0,1
49,""" these hoes like niggas that spend money not talk bout it """,0,0,0,0,0,1
50,""" we dont trust these niggas all these bitches """,0,0,0,0,0,1
51,""" yall niggas b cuffing hoes cause yall aint never have bitches """,0,1,0,0,0,1
52,""" you dodge a bullet "" &128517; &8220; USER : ""All da bitches I cut off pregnant or bound to be .thank God &128591;""&8221;",0,0,0,0,0,1
55,"""&128514;&128514;&128514;&128514;&128514;&128514;&128514;&128514;&128514;&128514; USER : Gay niggas couldn't wait to act like bitches tonight""",0,0,1,0,0,1
56,"""&128514;&128514;&128514; USER : And ima steal his cat n replace it with a pitbull &128514;&128514;&128514;&128514; RT USER : USER He a bitch you should do it""",0,0,0,0,0,1
57,"""&amp; he's gone always be a hoe""",0,0,0,0,0,1
58,""" .Son of a bitch took my Tic Tacs."" I like this movie.",0,0,0,0,0,1
59,""" .All I wanna do is get money and fuck model bitches!"" - Russell Simmons",0,0,0,0,0,1
60,""" USER : I probably wouldn&8217;t mind school as much if we didn&8217;t have to deal with bitch ass teachers"". Retweet",0,0,0,0,0,1
61,""" USER : I'm a fucking fag they said""",0,0,0,0,0,1
63,""" USER : -SimplyAddictedToGuys URL "" woof woof hot scally lad",0,0,0,0,0,1
64,""" USER : Have ya ever asked your bitch for other bitches - kanye voice"" Yes",0,0,0,0,0,1
65,""" USER : How u gone bring ur side bitch to a game where You know Ya gf friends at ! &128553;&128553;&128553;&128553;"" I SWEAR !",0,0,0,0,0,1
66,""" USER : URL "" woof woof and hot soles",0,0,0,0,0,1
67,""" USER : Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol",0,0,0,0,0,1
68,""" USER : USER USER bitch fuck u URL "" maybe you'll get better. Just URL",0,0,0,0,0,1
69,""" USER : Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?",0,0,0,0,0,1
72,""" USER : Him seh me pussy wetter then a shower curtain .ahmesehwetness""&lt EMO mao !",0,0,0,0,0,1
73,""" USER : Eaglesnation and every Eagles need to see that pic I just posted because that bitch just said the most racist shit""",0,0,0,0,0,1
74,""" USER : Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life URL "" USER",0,0,0,0,0,1
75,""" USER : baby monkey bathtime URL "" Awwwwe! This is soooo ADORABLE!",0,0,0,0,0,1
76,""" USER : &128514;&128514;&128514;&128514; I ain't shit ."" Damn Skippy lol",0,0,0,0,0,1
77,""" USER : u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance",0,0,0,0,0,1
78,""" USER : USER URL "" 0 rings 0 mvps 0 bitches lol",0,0,0,0,0,1
79,""" USER : ppl talk bad about the ghetto / hood . but as a kid growing up, a nigga had funnnnnnn !""",0,0,0,0,0,1
80,""" USER : The facts on tattoos .tattoo URL "" he's a pussy with not tattooing them nipples",0,0,0,0,0,1
81,""" USER : &128175;&128175;&128175; RT USER Bitches be wanting to act like niggas so bad &128553;&128553;&128553; that shit aint cuteeeee"" but niggas act like bitches .",0,0,0,0,0,1
